row,url,address,name,latitude,longitude,food
0,https://www.zomato.com/indore/cafe-bake-well-south-tukoganj,"2-A, Hotel Crown Palace, Kanchan Bagh, Near Geeta Bhawan Square, South Tukoganj, Indore",Cafe Bake Well,0,0,"Burgers,Sandwich,Tea,Chole Bhature,Chocolava,Hot Coffee,Brownie"
1,https://www.zomato.com/indore/new-egg-zone-hig-lig,"203 D, Swan Bag Colony, Near Red Mapple Bakery, Indore, HIG-LIG, Indore",New Egg Zone,0,0,Prompt Service
2,https://www.zomato.com/indore/royal-sandwich-hig-lig,"Shop 143, Anoop Nagar, HIG-LIG, Indore",Royal Sandwich,22.73824,75.88327,"Burgers,Cold Coffee,Noodle,Butter Maggi,Cheese Sandwich"
3,https://www.zomato.com/indore/urban-desi-bistro-new-palasia,"Floor 28, Upper Ground Floor, One Centre, Palasiahana, Opposite 56 ShopIndore, New Palasia, Indore",Urban Desi Bistro,22.725455,75.894875,"Butter Chicken,Dal Makhani,Rolls,Afghani Momos,Tandoori Momos,Mutton Roganjosh,Soya Chaap"
4,https://www.zomato.com/indore/lig-maggi-pasta-old-palasia,"108, Ashirwad Complex, Kanadiya Road, Old Palasia, Indore",LIG Maggi & Pasta,22.7211,75.89966,
5,https://www.zomato.com/food-4-foodie-1-food-truck,"A5, Radhika Kunj, Near LIG Link Road, HIG-LIG, Indore",Food 4 Foodie,22.73467,75.88841,"Butter Chicken,Paratha,Sandwich,Dal Makhani"
6,https://www.zomato.com/indore/oye24-hig-lig,"Plot 134, Opposite Water Tank, Malwa Mill Square, Anaj Mandir, Scheme 91, Indore",Oye24,22.748346,75.922089,"Poha,Chilli Paneer,Rajma Chawal,Biryani,Khichda,Hot Dog,Rajma Rice"
7,https://www.zomato.com/indore/dilli-darbar-family-restaurant-old-palasia,"1, Manorama Ganj, Palasia Square, Old Palasia, Indore",Dilli Darbar Family Restaurant,40.71973,-111.83444,"Tandoori Chicken,Chicken Malai Tikka,Butter Chicken,Chilli Chicken"
8,https://www.zomato.com/indore/24-hours-bakery-shop-vijay-nagar,"EC-4, Scheme 94, Mahalaxmi Nagar, Near Bombay Hospital, Vijay Nagar, Indore",24 Hours Bakery Shop,0,0,
9,https://www.zomato.com/indore/behrouz-biryani-old-palasia,"UG 8, Amar Darshan Building, Khajrana Main Road, Saket Square, Near Saket Pan Corner, Old Palasia, Indore",Behrouz Biryani,22.725482,75.894861,"Chicken Biryani,Paneer Biryani,Dum Biryani,Mint Raita,Chicken Tikka,Bhuna Chicken,Saffron Rice"
10,https://www.zomato.com/indore/atul-sandwich-and-cafe-old-palasia,"34 & 35, Lower Ground Floor, Navneet Plaza, Old Palasia, Indore",Atul Sandwich And Cafe,43.591422,3.355331,"Maggi,Pizza Sandwich,White Sauce Pasta,Chips,Poha"
11,https://www.zomato.com/indore/sagar-gaire-2-new-palasia,"Shop No.1, NM Tower, Chappan Dukan, New Palasia, Indore",Sagar Gaire,22.727483,75.894252,"Sandwich,Biryani,Pasta,Chole Kulche,Butter Paneer,Panneer Butter Masala,Dal Makhani"
12,https://www.zomato.com/indore/singh-restaurant-vijay-nagar,"Plot 1, Scheme 78, Part 2, Opposite Prestige Collage, Vijay Nagar, Indore",Singh Restaurant,22.752373,75.891541,"Lassi,Tandoori Roti"
13,https://www.zomato.com/indore/cafe-yolo-vijay-nagar,"65, Scheme 78-II, Opposite Prestige College, Vijay Nagar, Indore",Cafe Yolo,22.752373,75.891541,"Sandwich,Coffee,Pizza,Pasta,Mocktails,Mojito,Kit Kat Shake"
14,https://www.zomato.com/indore/shree-gurukripa-vijay-nagar,"Kushabhau Thakre Marg, Opposite Bombay Hospital, Vijay Nagar, Indore",Shree Gurukripa,22.75242,75.88789,"Veg Lollipop,Crispy Corn,Kadhai Paneer,Butter Naan,Roti,Panneer Butter Masala,Jeera Rice"
15,https://www.zomato.com/indore/laxmi-narayan-doodhwala-old-palasia,"G-10, The Mark Building, Anand Bazar Square, Old Palasia, Indore",Laxmi Narayan Doodhwala,40.71973,-111.83444,"Rabri,Gulab Jamun,Malpua,Halwa,Masala Doodh,Lassi,Jalebi"
16,https://www.zomato.com/indore/via-indore-new-palasia,"Lower Ground 5, Vidhyapati, Race Course Road, New Palasia, Indore",Via Indore,30.46522,-91.08645,"Thali,Khichda,Crispy Corn"
17,https://www.zomato.com/indore/galliyara-restaurant-khajrana,"Scheme 94, Plot ED 143, Sector D, Ring Road, Vijay Nagar, Indore",Galliyara Restaurant,-19.338441,146.608232,"Tandoori Chicken,Biryani"
18,https://www.zomato.com/indore/chakhna-cafe-old-palasia,"Shekhar Central, Old Palasia, Indore",Chakhna Cafe,17.47609,78.48147,"Vegetable Biryani,Strawberry Shake,Crispy Corn,Cheese Chilli Toast,Tea,Chilli Paneer,Aloo Paratha"
19,https://www.zomato.com/indore/rolls-club-vijay-nagar,"14, Lower Ground, Royal Platinum Building, Opposite Prestige College, Vijay Nagar, Indore",Roll's Club,22.757818,75.906595,
20,https://www.zomato.com/indore/indori-zaika-restaurant-new-palasia,"Shop 3, 589, Swarnabagh Colony, New Palasia, Indore",Indori Zaika Restaurant,40.71973,-111.83444,
21,https://www.zomato.com/indore/tgf-restro-treat-gonna-fun-vijay-nagar,"88, Scheme 78/2, Vijay Nagar, Indore",TGF Restro - Treat Gonna Fun,28.70855,77.09917,
22,https://www.zomato.com/indore/icy-spicy-old-palasia,"Tilak Nagar, Near Krishna Public School, Old Palasia, Indore",Icy Spicy,28.65895,77.28322,
