link,address,name
https://www.zomato.com/indore/99-rotiwala-1-hig-lig,"4, Radhika Kunj, Colony, Ring Road, HIG-LIG, Indore",99 Rotiwala
https://www.zomato.com/indore/tarang-the-tripti-vijay-nagar,"The Tripti Hotel,106, Scheme 78, Part 2, Vijay Nagar, Indore",Tarang- The Tripti
https://www.zomato.com/indore/chicken-hub-geeta-bhavan,"Shop B 2, Geeta Bhavan, Indore",Chicken Hub
https://www.zomato.com/indore/daulat-sev-bhandar-hig-lig,"748/8, Nanda Nagar Main Road HIG-LIG, Opposite St. Joseph School, Indore",Daulat Sev Bhandar
https://www.zomato.com/indore/the-samosa-state-old-palasia,"Lower Ground 14, Navneet Plaza, Old Palasia, Indore",The Samosa State
https://www.zomato.com/indore/chai-kaapi-old-palasia,"Mehra Bhawan, Patrakar Square, Saket, Old Palasia, Indore",Chai Kaapi
https://www.zomato.com/indore/american-bawarchi-vijay-nagar,"MR 9 Road, Anil Nagar, Vijay Nagar, Indore",American Bawarchi
https://www.zomato.com/indore/the-kitchen-company-vijay-nagar,"Plot 58, PU 4, Near C21 Mall, AB Road, Vijay Nagar, Indore",The Kitchen Company
https://www.zomato.com/indore/k2h-cafe-and-restaurant-geeta-bhavan,"Geeta Nagar, Geeta Bhavan, Indore",K2H Cafe and Restaurant
https://www.zomato.com/indore/hugs-with-mugs-geeta-bhavan,"B-7, Alankar Point, Geeta Bhawan Square, Geeta Bhavan, Indore",Hugs With Mugs
https://www.zomato.com/indore/o2-cafe-de-la-ville-new-palasia,"23/ 2C, New Palasia, Indore",O2 Cafe De La Ville
https://www.zomato.com/indore/mr-egg-king-hig-lig,"14, Gurunagar, Behind Bus Depo, HIG-LIG, Indore",Mr. Egg King
https://www.zomato.com/indore/34-chowringhee-lane-new-palasia,"Upper Ground, One Centre Survey, Palasiahana, Opposite 56, New Palasia, Indore",34 Chowringhee Lane
https://www.zomato.com/indore/the-urban-gumti-2-vijay-nagar,"312, Krishna Bagh Colony, Indore, Madhya Pradesh, Vijay Nagar, Indore",The Urban Gumti
https://www.zomato.com/indore/sweet-truth-old-palasia,"UG 8, Amar Darshan Building, Saket Square, Kharjana Main Road, Old Palasia, Indore",Sweet Truth
https://www.zomato.com/indore/kitchen-craft-vijay-nagar,"203 DH, Scheme 74C, Behind Apollo Hospital, Vijay Nagar, Indore",Kitchen Craft
https://www.zomato.com/indore/firangi-bake-old-palasia,"8, Amar Darshan Building, Saket Square, Old Palasia, Indore",Firangi Bake
https://www.zomato.com/indore/cream-stone-new-palasia,"4 NM, Tower 1, New Palasia, Indore",Cream Stone
https://www.zomato.com/indore/dr-d-khajrana,Delivery Only,Dr. D
https://www.zomato.com/indore/forever-bhukkad-com-2-hig-lig,"1534/20, Nanda Nagar, HIG-LIG, Indore",Forever Bhukkad.com
https://www.zomato.com/indore/goldy-di-hatti-vijay-nagar,"BCM Heights, LG-5, Vijay Nagar, Indore",Goldy Di Hatti
https://www.zomato.com/indore/a1-rotiwala-hig-lig,"E /82 B, Near Shefali Jain Hospital, LIG Colony, HIG- LIG, Indore",A1 Rotiwala
https://www.zomato.com/indore/the-good-bowl-vijay-nagar,"Shop 24, Mangle City Mall, Sch 54, A B Road, Vijay Nagar, Indore",The Good Bowl
https://www.zomato.com/indore/foc-24-new-palasia,"23/2 C, New Palasia, Indore",FOC 24
https://www.zomato.com/indore/crayons-cafe-old-palasia,"Shop 146 & 147, Upper Ground 6, Near Tempo Stand, Tilak Nagar, Old Palasia, Indore",Crayons Cafe
https://www.zomato.com/indore/the-belgian-waffle-co-old-palasia,"22, Ground Floor, Anand Bazar, Opposite Lions Gym, Khajrana, Indore",The Belgian Waffle Co.
https://www.zomato.com/indore/sat-guru-kripa-khajrana,"Swran Bagh Colony, Ring Road, Near Khajrana, Indore",Sat Guru Kripa
https://www.zomato.com/indore/shri-gurukripa-restorent-hig-lig,"7-8, Subhash Nagar Square, Pardeshipura , Indore",Shri Gurukripa Restorent
https://www.zomato.com/indore/koffee-king-press-complex,"Shopping Complex, A.B. Road, Press Complex, Indore",Koffee King
https://www.zomato.com/indore/spicy-tadka-vijay-nagar,"LG 14, Royal Platinum Building, Opposite Prestige College, Vijay Nagar, Indore",Spicy Tadka
https://www.zomato.com/indore/noors-kitchen-vijay-nagar,"Shop 16, Shekhar Planet, Near Reliance Fresh, Vijay Nagar, Indore",Noor's Kitchen
https://www.zomato.com/indore/pakka-south-vijay-nagar,"165/A, Tulsi Nagar, Vijay Nagar, Indore",Pakka South
https://www.zomato.com/indore/oiya-new-palasia,"DM Tower, 56 Dukan, Near Janjeerwala Square, New Palasia, Indore",Oiya
https://www.zomato.com/indore/food-monk-vijay-nagar,"Shop 3, GG 25, Scheme 54, Vijay Nagar, Indore",Food Monk
https://www.zomato.com/indore/picasso-2-yn-road,"18/2, Yashwant Niwas Road, Indore",Picasso
https://www.zomato.com/indore/tummy-fillers-by-pass-road-north,"83A, Vaibhav Nagar, Kanadia Road, Near Ram Mandir, By Pass Road (North), Indore",Tummy Filler's
https://www.zomato.com/indore/foobae-old-palasia,"74, Patrakar Colony, Saket, Old Palasia, Indore",Foobae
https://www.zomato.com/indore/good-luck-restaurant-bar-yn-road,"Malwa Mill Square, YN Road, Indore",Good Luck Restaurant & Bar
https://www.zomato.com/indore/dairy-don-vijay-nagar,"G1, Scheme 54, Ground Floor, Giriraj Grand 64-65, Near Satya Sai School, Vijay Nagar, Indore",Dairy Don
https://www.zomato.com/indore/punjabi-delight-vijay-nagar,"533, Sector C, Scheme 136, Near Kabit Kheri, Vijay Nagar, Indore",Punjabi Delight
https://www.zomato.com/indore/udta-punjab-vijay-nagar,Delivery Only,Udta Punjab
https://www.zomato.com/indore/the-second-wife-hig-lig,"4/1, Radhika Kunj, LIG Link Road, HIG-LIG, Indore",The Second Wife
https://www.zomato.com/indore/mustang-hotel-somdeep-palace-vijay-nagar,"Hotel Somdeep Palace, MR 10, Vijay Nagar, Indore",Mustang - Hotel Somdeep Palace
https://www.zomato.com/indore/mcdonalds-2-vijay-nagar,"Ground Floor, Mangal City Mall, AB Road, Vijay Nagar, Indore",McDonald's
https://www.zomato.com/indore/new-students-mess-hig-lig,"C-16, HIG Colony, Behind City Heart Restaurant, HIG-LIG, Indore",New Students Mess
https://www.zomato.com/indore/koc-vijay-nagar,"378/A, Mahalaxmi Nagar, Vijay Nagar, Indore",KOC
https://www.zomato.com/indore/combo-junction-new-palasia,"Lower Ground 5, Vidhyapati, Race Course Road, New Palasia, Indore",Combo Junction
https://www.zomato.com/indore/cafe-kono-new-palasia,"1/6, Upper Ground, Western Business Center, New Palasia, Indore",Cafe Kono
https://www.zomato.com/indore/cafe-pubg-vijay-nagar,"GF 37, Near Krishna Dudh Dairy, Vijay Nagar, Indore",Cafe PUBG
https://www.zomato.com/indore/sigdi-sizzler-south-indian-vijay-nagar,"65, Scheme 78, Part 2, Vijay Nagar, Indore",Sigdi - Sizzler & South Indian
https://www.zomato.com/indore/shree-goyal-juice-center-new-palasia,"594, MG Road, New Palasia, Indore",Shree Goyal Juice Center
https://www.zomato.com/indore/the-cliff-restaurant-bar-vijay-nagar,"Plot 57, PU-4, Behind C 21 Mall, Vijay Nagar, Indore",The Cliff Restaurant & Bar
https://www.zomato.com/indore/mama-loca-new-palasia,"G-1, 6/3, Princess Centre, New Palasia, Indore",Mama Loca
https://www.zomato.com/indore/egglicious-khajrana,"203 D, Swan Bag Colony, Near Red Mapple Bakery, Indore, HIG-LIG, Indore",Egglicious
